person_verse_id,reference_id,person_label_id,person_id,person_label,person_label_count,person_verse_sequence,person_verse_notes
ACT 18:27__NA,ACT 18:27,NA,NA,NA,,40049,
ACT 18:28__YHVH_1_123,ACT 18:28,YHVH_1_123,YHVH_1,Jesus,1,40050,
ACT 18:28__YHVH_1_140,ACT 18:28,YHVH_1_140,YHVH_1,Christ,2,40051,
ACT 19:1__Apollos_1_1,ACT 19:1,Apollos_1_1,Apollos_1,Apollos,1,40052,
ACT 19:1__Saul_2_2,ACT 19:1,Saul_2_2,Saul_2,Paul,1,40053,
ACT 19:2__NA,ACT 19:2,NA,NA,NA,,40054,
ACT 19:3__John_1_1,ACT 19:3,John_1_1,John_1,John,1,40055,John's baptism
ACT 19:4__Saul_2_2,ACT 19:4,Saul_2_2,Saul_2,Paul,1,40056,
ACT 19:4__John_1_1,ACT 19:4,John_1_1,John_1,John,1,40057,
ACT 19:4__YHVH_1_123,ACT 19:4,YHVH_1_123,YHVH_1,Jesus,1,40058,
ACT 19:5__YHVH_1_153,ACT 19:5,YHVH_1_153,YHVH_1,Lord Jesus,1,40059,
ACT 19:6__Saul_2_2,ACT 19:6,Saul_2_2,Saul_2,Paul,1,40060,
ACT 19:7__NA,ACT 19:7,NA,NA,NA,,40061,
ACT 19:8__YHVH_1_1,ACT 19:8,YHVH_1_1,YHVH_1,G-d,1,40062,the kingdom of G-d
ACT 19:9__Tyrannus_1_1,ACT 19:9,Tyrannus_1_1,Tyrannus_1,Tyrannus,1,40063,
ACT 19:10__YHVH_1_11,ACT 19:10,YHVH_1_11,YHVH_1,Lord,1,40064,
ACT 19:11__YHVH_1_1,ACT 19:11,YHVH_1_1,YHVH_1,G-d,1,40065,
ACT 19:11__Saul_2_2,ACT 19:11,Saul_2_2,Saul_2,Paul,1,40066,
ACT 19:12__NA,ACT 19:12,NA,NA,NA,,40067,
ACT 19:13__YHVH_1_153,ACT 19:13,YHVH_1_153,YHVH_1,Lord Jesus,1,40068,
ACT 19:13__YHVH_1_123,ACT 19:13,YHVH_1_123,YHVH_1,Jesus,1,40069,
ACT 19:13__Saul_2_2,ACT 19:13,Saul_2_2,Saul_2,Paul,1,40070,
ACT 19:14__Sceva_1_1,ACT 19:14,Sceva_1_1,Sceva_1,Sceva,1,40071,seven sons of Sceva
ACT 19:15__YHVH_1_123,ACT 19:15,YHVH_1_123,YHVH_1,Jesus,1,40072,
ACT 19:15__Saul_2_2,ACT 19:15,Saul_2_2,Saul_2,Paul,1,40073,
ACT 19:16__NA,ACT 19:16,NA,NA,NA,,40074,
ACT 19:17__YHVH_1_153,ACT 19:17,YHVH_1_153,YHVH_1,Lord Jesus,1,40075,
ACT 19:18__NA,ACT 19:18,NA,NA,NA,,40076,
ACT 19:19__NA,ACT 19:19,NA,NA,NA,,40077,
ACT 19:20__YHVH_1_11,ACT 19:20,YHVH_1_11,YHVH_1,Lord,1,40078,the word of the Lord
ACT 19:21__Saul_2_2,ACT 19:21,Saul_2_2,Saul_2,Paul,1,40079,
ACT 19:22__Timothy_1_1,ACT 19:22,Timothy_1_1,Timothy_1,Timothy,1,40080,
