place_label_id,place_id,english_label,hebrew_label,hebrew_label_transliterated,hebrew_label_meaning,hebrew_strongs_number,greek_label,greek_label_transliterated,greek_label_meaning,greek_strongs_number,label_reference_id,label_type,open_bible_id,label-given_by_god,label_notes,place_label_count,label_sequence
Gomorrah_1_1,Gomorrah_1,Gomorrah,עֲמֹרָה,amorah,to overwhelm with water,H6017,Γόμορρα,Gómorrha,,G1116,GEN 10:19,proper name,aa572e2,,,1,38
Admah_1_1,Admah_1,Admah,אֲדָמָה,adamah,red earth,H128,Αδαμα,Adama,,none,GEN 10:19,proper name,a41a054,,,1,39
Zeboiim_1_1,Zeboiim_1,Zeboiim,צְבֹאִים,tsəvoiym,gazelles,H6636,Σεβωιμ,Sebōim,,none,GEN 10:19,proper name,abfbfb9,,,1,40
Lasha_1_1,Lasha_1,Lasha,לֶשַׁע,lesha,,H3962,Λασα,Lasa,,none,GEN 10:19,proper name,adaef13,,,1,41
Mesha_1_1,Mesha_1,Mesha,מֵשָׁא,mesha,,H4852,Μασση,Massē,,none,GEN 10:30,proper name,a6b4fb2,,,1,42
Sephar_1_1,Sephar_1,Sephar,סְפָר,səfar,,H5611,Σωφηρα,Sōphēra,,none,GEN 10:30,proper name,a3cae2c,,,1,43
Ur_1_1,Ur_1,Ur,אוּר,ur,,H218,[none],,,,GEN 11:28,proper name,a6cf75c,,"Rahlfs Septuaginta has ""ἐν τῇ χώρᾳ τῶν Χαλδαίων"" (in the land of the Chaldeans).",1,44
Chaldea_1_1,Chaldea_1,Chaldea,כַּשְׂדִּים,kasədiym,Kasdiym = Chaldean,H3778,Χαλδαῖος,Xaldai͂os,Chaldean,G5466,GEN 11:28,proper name,a32a4f8,,,1,45
Canaan_1_1,Canaan_1,Canaan,כְּנַעַן,kənaan,"land of purple, hence merchant, trader",H3667,Χανάαν,Xanáan,,G5477,GEN 11:31,proper name,a581f0c,,,1,46
Haran_1_1,Haran_1,Haran,חָרָן,charan,mountaineer perhaps sanctuary,H2771,Χαρράν,Xarrhán,,G5488,GEN 11:31,proper name,a6d9af3,,,1,47
Shechem_1_1,Shechem_1,Shechem,שְׁכֶם,shəkhem,shoulders [and upper part of the back]; [poss.] shoulder [saddle of a hill],H7927,Συχέμ,Sukhém,,G4966,GEN 12:6,proper name,adf74d4,,,1,48
Moreh_1_1,Moreh_1,Moreh,מוֹרֶה,moreh,archer? teacher?,H4176,[none],,,,GEN 12:6,proper name,a38ad9f,,"Rahlfs Septuaginta has ""δρῦν τὴν ὑψηλήν·"" (high oak or proud oak) instead of a Moreh equivalent",1,49
Bethel_1_1,Bethel_1,Bethel,בֵּית-אֵל,beyt el,house of G-d [El],H1008,Βαιθηλ,Baithēl,,none,GEN 12:8,proper name,a64f355,,,1,50
Ai_1_1,Ai_1,Ai,עַי,ay,"ruin, the heap",H5857,Αγγαι,Angai,,none,GEN 12:8,proper name,a7e13e1,,,1,51
Negev_1_1,Negev_1,Negev,נֶגֶב,negev,"south (directionally), the Negev (specifically)",H5045,[none],,,,GEN 12:9,proper name,a1cb244,,"Rahlfs Septuaginta has ""ἐρήμῳ"" (wilderness, desert) in lieu of a proper noun",1,52
Egypt_1_1,Egypt_1,Egypt,מִצְרַיִם,mitsəraiyim,Mitsrayim = Egypt,H4714,Αἴγυπτος,Ai̓́guptos,,G125,GEN 12:10,proper name,af301ca,,,1,53
Valley of the Jordan_1_1,Valley of the Jordan_1,Valley of the Jordan,כִּכַּ֣ר הַיַּרְדֵּ֔ן,kikar hayarəden,plain(?) [of] the Jordan,"H3603, H3383",περίχωρον τοῦ Ιορδάνου,períkhōron tou͂ Iordánou,surrounding region [of] the Jordan,"G4066, G3588, G2446",GEN 13:10,proper name,aa54aa4,,,1,54
Jordan_1_1,Jordan_1,Jordan,יַרְדֵּן,yarəden,descending,H3383,Ἰορδάνης,I̓ordánēs,,G2446,GEN 13:10,proper name,ae686c9,,,1,55
The Garden_1_3,The Garden_1,Garden of the LORD,גַן־יְהוָה,gan Y-H-V-H,garden [of] YHVH [tetragrammaton],"H1588, H3068",παράδεισος τοῦ θεοῦ,parádeisos tou͂ theou͂,paradise [of] the G-d,"G3857, G3588, G2316",GEN 13:10,proper name,none,,,3,56
Zoar_1_1,Zoar_1,Zoar,צֹעַר,tsoar,"small, insignificant",H6820,Ζογορα,Zogora,,none,GEN 13:10,proper name,aacfcda,,,1,57
Mamre_1_1,Mamre_1,Mamre,מַמְרֵא,maməre,strength,H4471,Μαμβρη,Mambrē,,none,GEN 13:18,proper name,aeb9e97,,,1,58
Hebron_1_1,Hebron_1,Hebron,חֶבְרוֹן,chevəron,association,H5683,Χεβρων,Xebrōn,,none,GEN 13:18,proper name,a85151a,,,1,59
Assyria_1_2,Assyria_1,Ellasar,אֶלָּסָר,elasar,,H495,Ελλασαρ,Ellasar,,none,GEN 14:1,proper name,a6f4a6d,,,2,60
Elam_1_1,Elam_1,Elam,עֵילָם,eylam,highland,H5867,Αιλαμ,Ailam,,none,GEN 14:1,proper name,a7e3a59,,,1,61
Zoar_1_2,Zoar_1,Bela,בֶּלַע,bela,"swallower, devourer",H1106,[none],,,,GEN 14:2,proper name,aacfcda,,"Rahlfs Septuaginta has ""βασιλέως Βαλακ"" (King Balak) but not the name of his kingdom",2,62
Valley of Siddim_1_1,Valley of Siddim_1,Valley of Siddim,עֵמֶק הַשִּׂדִּים,emaq hasidiym,valley [of] the salt,"H6009, H7708",φάραγγα τὴν ἁλυκήν,pháranga tḕn a̔lukḗn,valley [of] the salt,"G5327, G3588, G252",GEN 14:3,proper name,a4a5cce,,,1,63
Salt Sea_1_1,Salt Sea_1,Siddim,שִׂדִּים,sidiym,,H7708,[none],,,,GEN 14:3,proper name,abed304,,Rahlfs Septuaginta has the word ἁλυκήν [a̔lukós- salt] instead of a transliteration of the Hebrew שִׂדִּים.,1,64
Salt Sea_1_2,Salt Sea_1,Salt Sea,יָם הַמֶּלַח,yam hamelah,sea [of] the salt,"H3220, H4417",ἡ θάλασσα τῶν ἁλῶν,ē̔ thálassa tō͂n a̔lō͂n,the sea [of] the salt,"G3588, G2281, G3588, G217",GEN 14:3,proper name,abed304,,,2,65
