place_id,place_name,place_type,modern_equivalent,place_notes,openbible_id,openbible_url,name_instance,place_sequence
King's Valley_1,King's Valley,valley,intersection of Kidron Valley and Valley of Hinnom,First mention: GEN 14:17,ac9f98d,https://www.openbible.info/geo/ancient/ac9f98d/kings-valley,1,66
Jerusalem_1,Jerusalem,settlement,Jerusalem,First mention: GEN 14:18,a15257a,https://www.openbible.info/geo/ancient/aad7e4e/salem,1,67
Nile_1,Nile,river,Nile River,First mention: GEN 15:18,a012705,https://www.openbible.info/geo/ancient/a012705/nile,1,68
Shur_1,Shur,settlement,Ar Ruwaysat,First mention: GEN 16:7,acdbce0,https://www.openbible.info/geo/ancient/acdbce0/shur,1,69
Beer-lahai-roi_1,Beer-lahai-roi,well,Ain Muweileh or possibly Haluza,First mention: GEN 16:14,a70e842,https://www.openbible.info/geo/ancient/a70e842/beer-lahai-roi,1,70
Bered_1,Bered,settlement,Haluza,First mention: GEN 16:14,aa3ff18,https://www.openbible.info/geo/ancient/aa3ff18/bered,1,71
Beersheba_1,Beersheba,settlement,Tel Beer Sheva (near Bir es Seba),First mention: GEN 21:14,a075d61,https://www.openbible.info/geo/ancient/a075d61/beersheba-2,1,72
Paran_1,Paran,region,Paran,First mention: GEN 21:21,aa6b19b,https://www.openbible.info/geo/ancient/aa6b19b/paran,1,73
Moriah_1,Moriah,region,Moriah,First mention: GEN 22:2,adaf385,https://www.openbible.info/geo/ancient/adaf385/moriah,1,74
The LORD Will Provide_1,The LORD Will Provide,unique,Mount Moriah?,First mention: GEN 22:14,a559399,https://www.openbible.info/geo/ancient/a559399/the-lord-will-provide,1,75
Machpelah_1,Machpelah,unique,Cave of the Patriarchs,First mention: GEN 23:9.  Worth 400 shekels of silver (GEN 23:15),ae00861,https://www.openbible.info/geo/ancient/ae00861/machpelah,1,76
Mesopotamia_1,Mesopotamia,region,Aram-naharaim,First mention: GEN 24:10,a43f60f,https://www.openbible.info/geo/ancient/a43f60f/mesopotamia,1,77
Nahor_1,Nahor,settlement,Nahuru,First mention: GEN 24:10,aff43ac,https://www.openbible.info/geo/ancient/aff43ac/nahor,1,78
Land of the East_1,Land of the East,geographic region,Amman,First mention: GEN 25:6,ab0b2dd,https://www.openbible.info/geo/ancient/ab0b2dd/east,1,79
Havilah_2,Havilah,geographic region,Arabian Peninsula,First mention: GEN 25:18,ac5e5c4,https://www.openbible.info/geo/ancient/ac5e5c4/havilah-2,2,80
