person_label_id,person_id,english_label,hebrew_label,hebrew_label_transliterated,hebrew_label_meaning,hebrew_strongs_number,greek_label,greek_label_transliterated,greek_label_meaning,greek_strongs_number,label_reference_id,label_type,label-given_by_god,label_notes,person_label_count,label_sequence
Zadok_3_1,Zadok_3,Zadok,צָדוֹק,tsadoq,righteous one,H6659,Σαδωκ,Sadōk,,G4524,1CH 6:12,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 5:38,1,1579
Shallum_6_1,Shallum_6,Shallum,שַׁלּוּם,shalum,"peace, well-being, prosperity",H7967,Σαλωμ,Salōm,,none,1CH 6:12,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 5:38,1,1580
Hilkiah_3_1,Hilkiah_3,Hilkiah,חִלְקִיָּה,chiləqiyah,Yahweh is [my] portion,H2518,Χελκιαν,Xelkian,,none,1CH 6:13,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 5:39,1,1581
Azariah_7_1,Azariah_7,Azariah,עֲזַרְיָה,azarəyah,Yahweh has helped,H5838,Αζαρια,Azaria,,none,1CH 6:13,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 5:39,1,1582
Jehozadak_1_1,Jehozadak_1,Jehozadak,יְהוֹצָדָק,yəhotsadaq,Yahweh is just,H3087,Ιωσαδακ,Iōsadak,,none,1CH 6:14,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 5:40,1,1583
Gershon_1_2,Gershon_1,Gershom,גֵּרְשֹׁם,gerəshom,temporary resident there,H1647,Γεδσων,Gedsōn,,none,1CH 6:16,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:1,2,1584
Jahath_2_1,Jahath_2,Jahath,יַחַת,yachat,snatch up,H3189,Ιεεθ,Ieeth,,none,1CH 6:20,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:5,1,1585
Zimmah_1_1,Zimmah_1,Zimmah,זִמָּה,zimah,"consider, plan",H2155,Ζεμμα,Zemma,,none,1CH 6:20,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:5,1,1586
Joah_2_1,Joah_2,Joah,יוֹאָח,yoach,Yahweh is brother,H3098,Ιωαχ,Iōax,,none,1CH 6:21,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:6,1,1587
Iddo_2_1,Iddo_2,Iddo,עִדּוֹ,ido,[prob.] Yahweh has adorned,H5714,Αδδι,Addi,,G78,1CH 6:21,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:6,1,1588
Zerah_4_1,Zerah_4,Zerah,זֶרַח,zerach,"dawning, shining or flashing [red or scarlet] light",H2226,Ζαρα,Zara,,G2196,1CH 6:21,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:6,1,1589
Jeatherai_1_1,Jeatherai_1,Jeatherai,יְאָתְרַי,yəatəray,,H2979,Ιεθρι,Iethri,,none,1CH 6:21,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:6,1,1590
Izhar_1_2,Izhar_1,Amminadab,עַמִּינָדָב,amiynadav,[my] people are generous,H5992,Αμιναδαβ,Aminadab,,G284,1CH 6:22,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:7,2,1591
Elkanah_3_1,Elkanah_3,Elkanah,אֶלְקָנָה,eləqanah,G-d [El] has possessed,H511,Ελκανα,Elkana,,none,1CH 6:23,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:8,1,1592
Ebiasaph_1_1,Ebiasaph_1,Ebiasaph,אֶבְיָסָף,evəyasaf,[my] father has gathered,H43,Αβιασαφ,Abiasaph,,none,1CH 6:23,proper name,,The BHS and Rahlfs Septuaginta equivalent verse is 1CH 6:8,1,1593
