person_verse_id,reference_id,person_label_id,person_id,person_label,person_label_count,person_verse_sequence,person_verse_notes
EXO 8:7__NA__NA,EXO 8:7,NA,NA,NA,,2964,
EXO 8:8__Pharaoh_3__Pharaoh_3_1,EXO 8:8,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2965,
EXO 8:8__Moses_1__Moses_1_1,EXO 8:8,Moses_1_1,Moses_1,Moses,1,2966,
EXO 8:8__Aaron_1__Aaron_1_1,EXO 8:8,Aaron_1_1,Aaron_1,Aaron,1,2967,
EXO 8:8__G-d_1__G-d_1_3,EXO 8:8,G-d_1_3,G-d_1,LORD,2,2968,
EXO 8:9__Moses_1__Moses_1_1,EXO 8:9,Moses_1_1,Moses_1,Moses,1,2969,
EXO 8:9__Pharaoh_3__Pharaoh_3_1,EXO 8:9,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2970,
EXO 8:10__G-d_1__G-d_1_3,EXO 8:10,G-d_1_3,G-d_1,LORD,1,2971,
EXO 8:10__G-d_1__G-d_1_1,EXO 8:10,G-d_1_1,G-d_1,G-d,1,2972,
EXO 8:11__NA__NA,EXO 8:11,NA,NA,NA,,2973,
EXO 8:12__Moses_1__Moses_1_1,EXO 8:12,Moses_1_1,Moses_1,Moses,2,2974,
EXO 8:12__Aaron_1__Aaron_1_1,EXO 8:12,Aaron_1_1,Aaron_1,Aaron,1,2975,
EXO 8:12__G-d_1__G-d_1_3,EXO 8:12,G-d_1_3,G-d_1,LORD,1,2976,
EXO 8:12__Pharaoh_3__Pharaoh_3_1,EXO 8:12,Pharaoh_3_1,Pharaoh_3,Pharaoh,2,2977,
EXO 8:13__G-d_1__G-d_1_3,EXO 8:13,G-d_1_3,G-d_1,LORD,1,2978,
EXO 8:13__Moses_1__Moses_1_1,EXO 8:13,Moses_1_1,Moses_1,Moses,1,2979,
EXO 8:14__NA__NA,EXO 8:14,NA,NA,NA,,2980,
EXO 8:15__Pharaoh_3__Pharaoh_3_1,EXO 8:15,Pharaoh_3_1,Pharaoh_3,Pharaoh,1,2981,
EXO 8:15__G-d_1__G-d_1_3,EXO 8:15,G-d_1_3,G-d_1,LORD,1,2982,
EXO 8:16__G-d_1__G-d_1_3,EXO 8:16,G-d_1_3,G-d_1,LORD,1,2983,
EXO 8:16__Moses_1__Moses_1_1,EXO 8:16,Moses_1_1,Moses_1,Moses,1,2984,
EXO 8:16__Aaron_1__Aaron_1_1,EXO 8:16,Aaron_1_1,Aaron_1,Aaron,1,2985,
EXO 8:17__Aaron_1__Aaron_1_1,EXO 8:17,Aaron_1_1,Aaron_1,Aaron,1,2986,
EXO 8:18__NA__NA,EXO 8:18,NA,NA,NA,,2987,
